4_1 MIKK4_1
4_2 MIKK4_2
5_1 MIKK5_1
7_2 MIKK7_2
8_2 MIKK8_2
10_1 MIKK10_1
11_1 MIKK11_1
11_2 MIKK11_2
13_2 MIKK13_2
14_1 MIKK14_1
14_2 MIKK14_2
15_1 MIKK15_1
17_1 MIKK17_1
18_2 MIKK18_2
20_1 MIKK20_1
21_2 MIKK21_2
22_1 MIKK22_1
23_1 MIKK23_1
23_2 MIKK23_2
25_1 MIKK25_1
29_1 MIKK29_1
30_1 MIKK30_1
32_2 MIKK32_2
33_1 MIKK33_1
38_2 MIKK38_2
39_1 MIKK39_1
39_2 MIKK39_2
40_1 MIKK40_1
40_2 MIKK40_2
43_2 MIKK43_2
47_1 MIKK47_1
49_1 MIKK49_1
50_2 MIKK50_2
53_2 MIKK53_2
55_2 MIKK55_2
58_2 MIKK58_2
59_1 MIKK59_1
59_2 MIKK59_2
60_1 MIKK60_1
61_1 MIKK61_1
62_2 MIKK62_2
68_1 MIKK68_1
69_1 MIKK69_1
69_2 MIKK69_2
70_2 MIKK70_2
71_1 MIKK71_1
72_1 MIKK72_1
72_2 MIKK72_2
75_1 MIKK75_1
79_2 MIKK79_2
80_1 MIKK80_1
80_2 MIKK80_2
84_2 MIKK84_2
89_1 MIKK89_1
94_1 MIKK94_1
95_1 MIKK95_1
104_1 MIKK104_1
106_1 MIKK106_1
106_2 MIKK106_2
110_2 MIKK110_2
117_1 MIKK117_1
117_2 MIKK117_2
121_2 MIKK121_2
123_2 MIKK123_2
125_1 MIKK125_1
127_2 MIKK127_2
129_1 MIKK129_1
130_2 MIKK130_2
131_2 MIKK131_2
131_4 MIKK131_4
132_4_1 MIKK132_4_1
132_5 MIKK132_5
134_1 MIKK134_1
135_1 MIKK135_1
135_2 MIKK135_2
137_4 MIKK137_4
138_1 MIKK138_1
139_4 MIKK139_4
140_1 MIKK140_1
140_3 MIKK140_3
